Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,text,preview_date,home_team,away_team,url
E0,2010-02-06,burnley,west ham,2,1,H,1,0,H,H Webb,8,20,4,11,15,13,3,5,2,1,0,0,2.6,3.25,2.8,2.45,3.15,2.8,2.5,3.2,2.75,2.45,3.1,2.9,2.5,3.3,2.8,2.4,3.2,2.7,2.6,3.2,2.75,2.6,3.2,2.75,2.5,3.4,2.75,2.6,3.25,2.75,38,2.65,2.51,3.36,3.23,2.92,2.78,35,2.15,2.04,1.81,1.73,23,0.0,1.88,1.81,2.05,1.99,"It is not just a fondness for claret and blue that unites Burnley and West Ham. Neither is in form – no win in 12 league games and one in nine respectively – and both were busy in the final week of the transfer window as they look to stave off relegation. Brian Laws could give debuts to the on-loan Chelsea midfielder Jack Cork and the former Celtic left-back Danny Fox, though the latter faces a fitness test. Gianfranco Zola has a welcome selection dilemma: how and when to deploy his three new strikers, Mido, Ilan and Benni McCarthy. Richard Jolly",2010-02-05,burnley,west ham,https://www.theguardian.com/football/2010/feb/05/squad-sheets-burnley-west-ham-united
E0,2010-02-06,hull,man city,2,1,H,1,0,H,P Dowd,8,17,4,11,14,14,4,8,2,4,0,0,5.5,3.4,1.73,5.45,3.55,1.7,4.75,3.5,1.72,4.9,3.5,1.7,5.0,3.5,1.73,4.75,3.5,1.65,5.0,3.5,1.73,5.0,3.5,1.73,5.5,3.5,1.73,5.25,3.4,1.73,37,5.7,5.08,3.6,3.48,1.8,1.72,34,1.92,1.85,2.0,1.89,25,0.0,4.0,3.54,1.33,1.26,"Patrick Vieira is expected to make his long-awaited debut for Manchester City – or should that be Team Bridge? – at the KC Stadium tomorrow following a ringing endorsement from his manager, Roberto Mancini. ""He is a big player, both on the pitch and in the mind,"" Mancini said. ""We lost two games recently, but maybe we would not have if he had been in the team."" Wayne Bridge may also draw his share of attention against an increasingly robust Hull side, who should be buoyed by consecutive draws with Wolves and Chelsea. James Callow",2010-02-05,hull,man city,https://www.theguardian.com/football/2010/feb/05/squad-sheets-hull-city-manchester-city
E0,2010-02-06,liverpool,everton,1,0,H,0,0,D,M Atkinson,9,6,4,3,11,23,8,8,3,3,1,1,1.83,3.5,4.33,1.85,3.45,4.5,1.85,3.4,4.1,1.75,3.5,4.6,1.8,3.5,4.5,1.75,3.4,4.2,1.83,3.4,4.5,1.8,3.5,4.5,1.83,3.4,4.33,1.9,3.3,4.33,38,1.9,1.82,3.66,3.42,4.75,4.44,35,2.16,2.0,1.82,1.76,27,0.0,1.42,1.32,3.75,3.15,"What optimism Everton bring into the 213th Merseyside derby is tempered by the knowledge they have not won at Anfield in 11 years, a miserable sequence that owes plenty to indiscipline. Eight red cards have been issued in the last 10 rounds of England's most contested derby – with Liverpool receiving only two – and Rafael Benítez has again stressed the need for heart and brains as his side embark on a demanding run that could have a major influence on their Champions League credentials. Liverpool and Everton, unbeaten in six and nine league games respectively, need no reminder of the game's importance. Andy Hunter",2010-02-05,liverpool,everton,https://www.theguardian.com/football/2010/feb/05/squad-sheets-liverpool-everton
E0,2010-02-06,man united,portsmouth,5,0,H,2,0,H,L Mason,21,7,8,5,9,11,12,1,1,4,0,0,1.13,8.5,23.0,1.1,8.5,18.0,1.13,7.25,19.0,1.12,7.0,22.0,1.12,8.0,21.0,1.11,7.0,17.0,1.12,7.5,23.0,1.13,8.0,21.0,1.11,10.0,23.0,1.12,7.5,23.0,36,1.14,1.12,10.1,7.81,26.0,21.4,33,1.5,1.48,2.74,2.53,24,-2.25,2.08,2.03,1.9,1.86,"Having haemorrhaged money and players throughout January, and now becoming subject to the whims of their fourth owner of the season, it is difficult to imagine a worse time for Portsmouth to have to visit Old Trafford. Factor in Manchester United's resurgent form in dismembering Arsenal last time out and matters start to look bleaker still for Avram Grant's side. Although Rio Ferdinand's suspension may provide a glimmer of hope for Pompey, the possible return of Nemanja Vidic from injury will surely extinguish it. Richard Flower",2010-02-05,man united,portsmouth,https://www.theguardian.com/football/2010/feb/05/squad-sheets-manchester-united-portsmouth
E0,2010-02-06,stoke,blackburn,3,0,H,2,0,H,S Bennett,15,9,11,4,13,20,12,7,2,3,0,1,2.3,3.1,3.4,2.2,3.2,3.15,2.25,3.2,3.1,2.2,3.2,3.2,2.25,3.2,3.25,2.2,3.2,3.0,2.25,3.2,3.3,2.2,3.25,3.4,2.25,3.25,3.4,2.25,3.2,3.25,38,2.38,2.24,3.35,3.2,3.5,3.25,35,2.26,2.1,1.74,1.69,26,0.0,1.66,1.6,2.42,2.28,"A fixture between the 11th and 12th-placed sides in the Premier League may smack of a mid-table muddle, but neither of the teams can afford to relax. Tony Pulis's side are struggling to find the net and have won just once in nine league games and despite flirting with the top half are only five points clear of the relegation zone. Blackburn have improved of late, with two wins and a draw in their last three games but remain 10 shy of the comfort zone of 38 points. One more towards that tally will probably suit Sam Allardyce nicely. John Ashdown",2010-02-05,stoke,blackburn,https://www.theguardian.com/football/2010/feb/05/squad-sheets-stoke-city-blackburn-rovers
E0,2010-02-06,sunderland,wigan,1,1,D,0,1,A,S Attwell,11,14,8,6,12,14,2,3,4,5,0,0,2.0,3.4,3.8,2.0,3.25,3.65,2.0,3.3,3.6,2.1,3.25,3.4,2.0,3.4,3.75,2.0,3.25,3.4,2.0,3.3,3.8,2.0,3.4,3.75,2.0,3.25,4.0,2.1,3.25,3.5,38,2.1,2.02,3.43,3.3,4.1,3.7,35,2.08,1.99,1.85,1.76,26,0.0,1.5,1.46,2.75,2.57,"Despite a dismal run of 10 league games without a win, Steve Bruce entertains his former club bolstered by words of reassurance from Sunderland's benefactor, Ellis Short. ""I spoke to the owner on Wednesday and he was very supportive,"" said Bruce who has laughed off criticisms from Dave Whelan, Wigan's owner, that his transfer market policy in Lancashire left Roberto Martínez with a flawed legacy. Whatever the rights and wrongs, both sides look in relegation peril. ""It's all gone a bit pear-shaped,"" Bruce acknowledged. ""But the north-east is not easy. It's a huge challenge – but given time I will turn it round. You learn from your mistakes."" Louise Taylor",2010-02-05,sunderland,wigan,https://www.theguardian.com/football/2010/feb/05/squad-sheets-sunderland-wigan-athletic
E0,2010-02-06,tottenham,aston villa,0,0,D,0,0,D,C Foy,28,10,15,5,10,13,12,4,0,0,0,0,2.1,3.3,3.6,2.1,3.3,3.65,2.1,3.25,3.4,2.1,3.25,3.4,2.0,3.4,3.75,2.0,3.25,3.4,2.05,3.3,3.6,2.0,3.4,3.75,2.1,3.25,3.75,2.1,3.2,3.6,38,2.2,2.08,3.45,3.28,3.89,3.53,35,2.02,1.92,1.9,1.83,27,0.0,1.53,1.5,2.59,2.46,"Aston Villa may be two points behind fourth-placed Tottenham with a game in hand but they have scored 14 goals fewer than Spurs and their lack of a cutting edge may be factor. With Jermain Defoe starting to find the target once more, Tottenham, who drew 1-1 at Villa Park in November, will expect to keep one of their rival contenders for a Champions League place at bay. Villa's hopes of getting something this afternoon have been boosted by the return of John Carew to the squad following a knee injury. David Lacey",2010-02-05,tottenham,aston villa,https://www.theguardian.com/football/2010/feb/05/squad-sheets-tottenham-hotspur-aston-villa
E0,2010-02-07,birmingham,wolves,2,1,H,0,1,A,L Probert,15,12,10,5,12,18,11,4,5,3,0,0,1.8,3.4,5.0,1.8,3.45,4.85,1.8,3.4,4.5,1.8,3.4,4.3,1.73,3.5,5.0,1.7,3.4,4.5,1.8,3.3,4.8,1.8,3.25,5.0,1.8,3.4,5.0,1.75,3.4,5.0,38,1.87,1.79,3.5,3.39,5.34,4.75,35,2.35,2.19,1.68,1.63,27,0.0,1.35,1.3,3.75,3.31,"It is easy to forget Birmingham and Wolves were promoted together last season. While Alex McLeish has been trying to play down talk of Europe, Mick McCarthy has been presiding over a relegation battle. The Wolves manager needs cheering up after a midweek loss to Crystal Palace and he is hoping a trip to St Andrew's on his 51st birthday will provide it. ""I've asked the wife for a twin-engined helicopter or the socks that no one ever thinks to buy me. But I would settle for three points against a side who have been fabulous this season."" Stuart James",2010-02-05,birmingham,wolves,https://www.theguardian.com/football/2010/feb/05/squad-sheets-birmingham-city-wolverhampton-wanderers
E0,2010-02-07,chelsea,arsenal,2,0,H,2,0,H,M Dean,9,14,3,6,11,14,4,8,2,2,0,0,1.8,3.6,4.5,1.8,3.55,4.65,1.8,3.3,4.5,1.7,3.5,4.9,1.8,3.5,4.5,1.7,3.4,4.5,1.8,3.3,4.8,1.73,3.5,5.0,1.83,3.5,4.75,1.75,3.4,5.0,37,1.86,1.78,3.61,3.43,5.02,4.68,34,1.95,1.87,1.97,1.87,26,0.0,1.36,1.29,3.75,3.33,"Arsenal are not out of contention for the title, but they will feel tomorrow that the immediate target is to restore credibility after the sobering loss to Manchester United. Arsène Wenger's side won the fixture at Stamford Bridge last season. Chelsea will feel they are in better shape as a club nowadays, but their performance was lacklustre in the draw at Hull. Didier Drogba did score there but it will be important for the Ivorian and Nicolas Anelka to combine more convincingly in the remainder of the programme. Kevin McCarra",2010-02-05,chelsea,arsenal,https://www.theguardian.com/football/2010/feb/05/squad-sheets-chelsea-arsenal
E0,2010-02-09,fulham,burnley,3,0,H,2,0,H,C Foy,16,10,12,3,9,9,6,2,1,0,0,0,1.73,3.5,5.25,1.65,3.5,5.25,1.73,3.5,4.75,1.7,3.5,4.9,1.73,3.5,5.0,1.65,3.5,4.75,1.73,3.4,5.25,1.73,3.5,5.0,1.73,3.5,5.5,1.73,3.4,5.25,38,1.79,1.72,3.75,3.46,5.7,5.15,37,2.25,2.07,1.75,1.7,28,0.0,1.28,1.25,4.0,3.62,,,,,
